

*******************************************************************************
Ephemeris / WWW_USER Tue May 30 06:42:50 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1980-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {West-longitude positive}
Target radii    : 71492.0, 71492.0, 66854.0 km    {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: jup365_merged}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Gregorian
EOP file        : eop.230528.p230821                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-28. PREDICTS-> 2023-AUG-20
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),             delta,     deldot,
*******************************************************************************
$$SOE
 1980-Jan-01 00:00, , ,   162.41129,    8.68351,  4.82598246983075,-23.8896456,
 1980-Jan-02 00:00, , ,   162.39515,    8.69494,  4.81225634791389,-23.6422504,
 1980-Jan-03 00:00, , ,   162.37598,    8.70758,  4.79867590565034,-23.3851121,
 1980-Jan-04 00:00, , ,   162.35381,    8.72142,  4.78524497941285,-23.1233080,
 1980-Jan-05 00:00, , ,   162.32863,    8.73647,  4.77196894541002,-22.8503395,
 1980-Jan-06 00:00, , ,   162.30045,    8.75272,  4.75885204430047,-22.5701735,
 1980-Jan-07 00:00, , ,   162.26927,    8.77016,  4.74589996770522,-22.2818113,
 1980-Jan-08 00:00, , ,   162.23510,    8.78878,  4.73311685137558,-21.9827722,
 1980-Jan-09 00:00, , ,   162.19796,    8.80858,  4.72050885958720,-21.6772540,
 1980-Jan-10 00:00, , ,   162.15786,    8.82954,  4.70808008438834,-21.3615311,
 1980-Jan-11 00:00, , ,   162.11482,    8.85166,  4.69583489207063,-21.0409786,
 1980-Jan-12 00:00, , ,   162.06885,    8.87492,  4.68377863398540,-20.7083256,
 1980-Jan-13 00:00, , ,   162.01998,    8.89932,  4.67191602480026,-20.3686459,
 1980-Jan-14 00:00, , ,   161.96821,    8.92485,  4.66025293488808,-20.0196205,
 1980-Jan-15 00:00, , ,   161.91357,    8.95148,  4.64879363168878,-19.6604336,
 1980-Jan-16 00:00, , ,   161.85610,    8.97921,  4.63754460252245,-19.2937535,
 1980-Jan-17 00:00, , ,   161.79583,    9.00802,  4.62650991336816,-18.9170773,
 1980-Jan-18 00:00, , ,   161.73280,    9.03788,  4.61569412017196,-18.5358885,
 1980-Jan-19 00:00, , ,   161.66704,    9.06878,  4.60510204322209,-18.1428507,
