

*******************************************************************************
Ephemeris / WWW_USER Tue May 30 06:01:38 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1980-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : MOON_ME                         {East-longitude positive}
Target radii    : 1737.4, 1737.4, 1737.4 km       {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Gregorian
EOP file        : eop.230528.p230821                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-28. PREDICTS-> 2023-AUG-20
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),             delta,     deldot,
*******************************************************************************
$$SOE
 1980-Jan-01 00:00, , ,    83.09512,   18.56955,  0.00257371269456,  0.0388995,
 1980-Jan-02 00:00, , ,    96.89437,   19.13946,  0.00259692450344,  0.0412454,
 1980-Jan-03 00:00, , ,   110.45809,   18.70169,  0.00262101617566,  0.0418313,
 1980-Jan-04 00:00, , ,   123.62836,   17.33890,  0.00264478051332,  0.0400213,
 1980-Jan-05 00:00, , ,   136.31147,   15.18401,  0.00266669689436,  0.0353835,
 1980-Jan-06 00:00, , ,   148.49306,   12.39366,  0.00268507543275,  0.0277727,
 1980-Jan-07 00:00, , ,   160.23101,    9.12593,  0.00269823429892,  0.0173636,
 1980-Jan-08 00:00, , ,   171.63771,    5.52749,  0.00270468368465,  0.0046425,
 1980-Jan-09 00:00, , ,   182.86182,    1.73055,  0.00270329695940, -0.0096265,
 1980-Jan-10 00:00, , ,   194.07409,   -2.14271,  0.00269345714656, -0.0244514,
 1980-Jan-11 00:00, , ,   205.45696,   -5.97093,  0.00267517159932, -0.0386727,
 1980-Jan-12 00:00, , ,   217.19463,   -9.62189,  0.00264914821451, -0.0510374,
 1980-Jan-13 00:00, , ,   229.45896,  -12.94108,  0.00261682290495, -0.0602955,
 1980-Jan-14 00:00, , ,   242.38636,  -15.74439,  0.00258032210338, -0.0653301,
 1980-Jan-15 00:00, , ,   256.04384,  -17.82128,  0.00254233945052, -0.0653244,
 1980-Jan-16 00:00, , ,   270.39128,  -18.95557,  0.00250590850675, -0.0599497,
 1980-Jan-17 00:00, , ,   285.26097,  -18.96693,  0.00247407052243, -0.0495305,
 1980-Jan-18 00:00, , ,   300.38134,  -17.76342,  0.00244947152094, -0.0351105,
 1980-Jan-19 00:00, , ,   315.45079,  -15.38128,  0.00243396773692, -0.0183475,
