

*******************************************************************************
Ephemeris / WWW_USER Tue May 30 06:48:07 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Neptune (899)                   {source: nep102_merged}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1980-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_NEPTUNE                     {West-longitude positive}
Target radii    : 24764.0, 24764.0, 24341.0 km    {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Gregorian
EOP file        : eop.230528.p230821                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-28. PREDICTS-> 2023-AUG-20
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),             delta,     deldot,
*******************************************************************************
$$SOE
 1980-Jan-01 00:00, , ,   260.52856,  -21.81271,  31.2094418551185, -9.7344567,
 1980-Jan-02 00:00, , ,   260.56727,  -21.81493,  31.2036820319316,-10.2108762,
 1980-Jan-03 00:00, , ,   260.60580,  -21.81711,  31.1976477935385,-10.6847483,
 1980-Jan-04 00:00, , ,   260.64413,  -21.81926,  31.1913406287812,-11.1559728,
 1980-Jan-05 00:00, , ,   260.68226,  -21.82138,  31.1847620929013,-11.6244715,
 1980-Jan-06 00:00, , ,   260.72017,  -21.82346,  31.1779137831009,-12.0901609,
 1980-Jan-07 00:00, , ,   260.75787,  -21.82551,  31.1707973516831,-12.5529346,
 1980-Jan-08 00:00, , ,   260.79533,  -21.82752,  31.1634145175841,-13.0126690,
 1980-Jan-09 00:00, , ,   260.83255,  -21.82950,  31.1557670749348,-13.4692280,
 1980-Jan-10 00:00, , ,   260.86953,  -21.83145,  31.1478568991764,-13.9224666,
 1980-Jan-11 00:00, , ,   260.90625,  -21.83336,  31.1396859518359,-14.3722317,
 1980-Jan-12 00:00, , ,   260.94270,  -21.83523,  31.1312562854418,-14.8183607,
 1980-Jan-13 00:00, , ,   260.97888,  -21.83707,  31.1225700502399,-15.2606768,
 1980-Jan-14 00:00, , ,   261.01477,  -21.83888,  31.1136295043053,-15.6989820,
 1980-Jan-15 00:00, , ,   261.05037,  -21.84065,  31.1044370281634,-16.1330490,
 1980-Jan-16 00:00, , ,   261.08567,  -21.84238,  31.0949951438457,-16.5626144,
 1980-Jan-17 00:00, , ,   261.12065,  -21.84407,  31.0853065362461,-16.9873782,
 1980-Jan-18 00:00, , ,   261.15531,  -21.84573,  31.0753740720369,-17.4070135,
 1980-Jan-19 00:00, , ,   261.18965,  -21.84735,  31.0652008094409,-17.8211885,
