

*******************************************************************************
Ephemeris / WWW_USER Tue May 30 06:47:03 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Uranus (799)                    {source: ura116}
Center body name: Earth (399)                     {source: ura116}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1980-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_URANUS                      {East-longitude positive}
Target radii    : 25559.0, 25559.0, 24973.0 km    {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: ura116}
Rel. light bend : Sun                             {source: ura116}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Gregorian
EOP file        : eop.230528.p230821                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-28. PREDICTS-> 2023-AUG-20
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),             delta,     deldot,
*******************************************************************************
$$SOE
 1980-Jan-01 00:00, , ,   232.03781,  -18.58480,  19.3997005738878,-21.1201340,
 1980-Jan-02 00:00, , ,   232.08653,  -18.59641,  19.3874033795853,-21.4631716,
 1980-Jan-03 00:00, , ,   232.13465,  -18.60787,  19.3749096121321,-21.8008233,
 1980-Jan-04 00:00, , ,   232.18216,  -18.61916,  19.3622224574891,-22.1328509,
 1980-Jan-05 00:00, , ,   232.22905,  -18.63028,  19.3493451377714,-22.4593455,
 1980-Jan-06 00:00, , ,   232.27531,  -18.64124,  19.3362809049853,-22.7800585,
 1980-Jan-07 00:00, , ,   232.32092,  -18.65204,  19.3230331374718,-23.0949629,
 1980-Jan-08 00:00, , ,   232.36588,  -18.66266,  19.3096051559514,-23.4040560,
 1980-Jan-09 00:00, , ,   232.41018,  -18.67311,  19.2960004462116,-23.7069181,
 1980-Jan-10 00:00, , ,   232.45380,  -18.68338,  19.2822226187906,-24.0035624,
 1980-Jan-11 00:00, , ,   232.49673,  -18.69348,  19.2682753121122,-24.2937476,
 1980-Jan-12 00:00, , ,   232.53897,  -18.70340,  19.2541623129101,-24.5773585,
 1980-Jan-13 00:00, , ,   232.58050,  -18.71314,  19.2398874184021,-24.8543096,
 1980-Jan-14 00:00, , ,   232.62131,  -18.72270,  19.2254546143554,-25.1241595,
 1980-Jan-15 00:00, , ,   232.66139,  -18.73207,  19.2108679961538,-25.3869611,
 1980-Jan-16 00:00, , ,   232.70073,  -18.74126,  19.1961316924243,-25.6424107,
 1980-Jan-17 00:00, , ,   232.73932,  -18.75027,  19.1812500775415,-25.8901568,
 1980-Jan-18 00:00, , ,   232.77715,  -18.75908,  19.1662276386814,-26.1299973,
 1980-Jan-19 00:00, , ,   232.81421,  -18.76770,  19.1510690747843,-26.3615088,
