

*******************************************************************************
Ephemeris / WWW_USER Tue May 30 06:41:52 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Sun (10)                        {source: jup365_merged}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 1980-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {West-longitude positive}
Target radii    : 71492.0, 71492.0, 66854.0 km    {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6.96E5               {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: jup365_merged}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Gregorian
EOP file        : eop.230528.p230821                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-28. PREDICTS-> 2023-AUG-20
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),             delta,     deldot,
*******************************************************************************
$$SOE
 1980-Jan-01 00:00, , ,   153.71900,   11.95092,  5.37894835400860,  0.4314333,
 1980-Jan-02 00:00, , ,   153.79354,   11.92426,  5.37919727056064,  0.4302141,
 1980-Jan-03 00:00, , ,   153.86806,   11.89757,  5.37944602724851,  0.4306202,
 1980-Jan-04 00:00, , ,   153.94257,   11.87087,  5.37969369075844,  0.4279082,
 1980-Jan-05 00:00, , ,   154.01705,   11.84415,  5.37994109917473,  0.4278461,
 1980-Jan-06 00:00, , ,   154.09151,   11.81742,  5.38018762686591,  0.4270174,
 1980-Jan-07 00:00, , ,   154.16595,   11.79067,  5.38043414990907,  0.4256132,
 1980-Jan-08 00:00, , ,   154.24036,   11.76390,  5.38068000141418,  0.4267875,
 1980-Jan-09 00:00, , ,   154.31475,   11.73712,  5.38092629432347,  0.4254842,
 1980-Jan-10 00:00, , ,   154.38913,   11.71031,  5.38117221790521,  0.4258649,
 1980-Jan-11 00:00, , ,   154.46349,   11.68349,  5.38141709194439,  0.4226968,
 1980-Jan-12 00:00, , ,   154.53782,   11.65666,  5.38166148924116,  0.4228560,
 1980-Jan-13 00:00, , ,   154.61213,   11.62980,  5.38190503795002,  0.4216525,
 1980-Jan-14 00:00, , ,   154.68642,   11.60294,  5.38214863999342,  0.4207828,
 1980-Jan-15 00:00, , ,   154.76068,   11.57605,  5.38239157494780,  0.4217554,
 1980-Jan-16 00:00, , ,   154.83492,   11.54916,  5.38263522192251,  0.4211048,
 1980-Jan-17 00:00, , ,   154.90914,   11.52224,  5.38287865729320,  0.4219479,
 1980-Jan-18 00:00, , ,   154.98335,   11.49530,  5.38312142128248,  0.4189286,
 1980-Jan-19 00:00, , ,   155.05754,   11.46835,  5.38336368428708,  0.4194891,
