

*******************************************************************************
Ephemeris / WWW_USER Tue May 30 06:48:49 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Neptune (899)                   {source: nep102_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 1980-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_NEPTUNE                     {West-longitude positive}
Target radii    : 24764.0, 24764.0, 24341.0 km    {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6.96E5               {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Gregorian
EOP file        : eop.230528.p230821                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-28. PREDICTS-> 2023-AUG-20
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),             delta,     deldot,
*******************************************************************************
$$SOE
 1980-Jan-01 00:00, , ,   259.88766,  -21.73111,  30.2805010990632, -0.0133935,
 1980-Jan-02 00:00, , ,   259.89398,  -21.73163,  30.2804933849115, -0.0133192,
 1980-Jan-03 00:00, , ,   259.90030,  -21.73216,  30.2804856914199, -0.0133398,
 1980-Jan-04 00:00, , ,   259.90662,  -21.73268,  30.2804779747268, -0.0133828,
 1980-Jan-05 00:00, , ,   259.91294,  -21.73321,  30.2804702326301, -0.0134278,
 1980-Jan-06 00:00, , ,   259.91926,  -21.73373,  30.2804624639530, -0.0134748,
 1980-Jan-07 00:00, , ,   259.92558,  -21.73426,  30.2804546675176, -0.0135239,
 1980-Jan-08 00:00, , ,   259.93189,  -21.73478,  30.2804468421449, -0.0135750,
 1980-Jan-09 00:00, , ,   259.93821,  -21.73530,  30.2804389866550, -0.0136282,
 1980-Jan-10 00:00, , ,   259.94453,  -21.73583,  30.2804310998668, -0.0136834,
 1980-Jan-11 00:00, , ,   259.95085,  -21.73635,  30.2804231805982, -0.0137407,
 1980-Jan-12 00:00, , ,   259.95717,  -21.73687,  30.2804152276657, -0.0138000,
 1980-Jan-13 00:00, , ,   259.96349,  -21.73740,  30.2804072398851, -0.0138613,
 1980-Jan-14 00:00, , ,   259.96981,  -21.73792,  30.2803992160707, -0.0139248,
 1980-Jan-15 00:00, , ,   259.97613,  -21.73844,  30.2803911550359, -0.0139902,
 1980-Jan-16 00:00, , ,   259.98245,  -21.73896,  30.2803830555929, -0.0140578,
 1980-Jan-17 00:00, , ,   259.98878,  -21.73949,  30.2803749165528, -0.0141274,
 1980-Jan-18 00:00, , ,   259.99510,  -21.74001,  30.2803667367256, -0.0141990,
 1980-Jan-19 00:00, , ,   260.00142,  -21.74053,  30.2803585149202, -0.0142727,
