

*******************************************************************************
Ephemeris / WWW_USER Tue May 30 06:45:58 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Saturn (699)                    {source: sat441l}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 1980-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_SATURN                      {West-longitude positive}
Target radii    : 60268.0, 60268.0, 54364.0 km    {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6.96E5               {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Gregorian
EOP file        : eop.230528.p230821                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-28. PREDICTS-> 2023-AUG-20
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),             delta,     deldot,
*******************************************************************************
$$SOE
 1980-Jan-01 00:00, , ,   172.94912,    5.33272,  9.41915466583789,  0.5230589,
 1980-Jan-02 00:00, , ,   172.98110,    5.31989,  9.41945680235797,  0.5232474,
 1980-Jan-03 00:00, , ,   173.01308,    5.30706,  9.41975908429202,  0.5235464,
 1980-Jan-04 00:00, , ,   173.04505,    5.29423,  9.42006158036046,  0.5239963,
 1980-Jan-05 00:00, , ,   173.07702,    5.28140,  9.42036434451357,  0.5244398,
 1980-Jan-06 00:00, , ,   173.10899,    5.26857,  9.42066739453884,  0.5250256,
 1980-Jan-07 00:00, , ,   173.14095,    5.25573,  9.42097078239183,  0.5255504,
 1980-Jan-08 00:00, , ,   173.17292,    5.24290,  9.42127442084982,  0.5258894,
 1980-Jan-09 00:00, , ,   173.20488,    5.23006,  9.42157819582690,  0.5260350,
 1980-Jan-10 00:00, , ,   173.23683,    5.21723,  9.42188202216357,  0.5260505,
 1980-Jan-11 00:00, , ,   173.26879,    5.20439,  9.42218577509870,  0.5258092,
 1980-Jan-12 00:00, , ,   173.30074,    5.19156,  9.42248937107103,  0.5254812,
 1980-Jan-13 00:00, , ,   173.33270,    5.17872,  9.42279270653443,  0.5249285,
 1980-Jan-14 00:00, , ,   173.36465,    5.16588,  9.42309572256972,  0.5244131,
 1980-Jan-15 00:00, , ,   173.39659,    5.15304,  9.42339848300385,  0.5240675,
 1980-Jan-16 00:00, , ,   173.42853,    5.14020,  9.42370109477145,  0.5238498,
 1980-Jan-17 00:00, , ,   173.46046,    5.12736,  9.42400361301293,  0.5238002,
 1980-Jan-18 00:00, , ,   173.49239,    5.11452,  9.42430616538639,  0.5239220,
 1980-Jan-19 00:00, , ,   173.52432,    5.10168,  9.42460882036482,  0.5241983,
