Date,R.A._ICRF,DEC_ICRF,delta,deldot,R.A._Ecl,DEC_Ecl,Opposition,x_ICRF,y_ICRF,z_ICRF,x_Ecl,y_Ecl,z_Ecl,x_Pol,y_Pol
01/02/1980,269.75171,-24.12915,1.38675610346684,11.9285111,269.77338950953134,-0.6900639504243063,1.0,-0.005484389746880998,-1.2655782299139737,-0.5668987175320213,-0.005484389746880998,-1.3866446807053388,-0.016701540145337312,1.3866555264590072,-1.5747514576410448
01/03/1980,271.43544,-24.22842,1.39336998843369,10.9776982,271.30910665495503,-0.7956615505464311,1.0,0.03183014283043298,-1.2702385803680283,-0.5718047880349663,0.03183014283043298,-1.3928719909541512,-0.01934899197672324,1.3932356373482508,-1.5479481368841268
01/04/1980,273.12789,-24.30663,1.39943736879098,10.0355428,272.85073253387765,-0.898296167211796,1.0,0.06959122085648073,-1.2734851225387667,-0.5760361566956962,0.06959122085648073,-1.3975337764939144,-0.021939797332330757,1.3992653767108074,-1.5210416892789722
01/05/1980,274.82854,-24.3634,1.40496276008452,9.1003785,274.39832777595905,-0.9978103824929816,1.0,0.10773011122295127,-1.275305012280008,-0.5795789040447313,0.10773011122295127,-1.4006127162052753,-0.024466294453480364,1.4047497135290785,-1.4940310566390929
01/06/1980,276.53692,-24.3984,1.40994970707766,8.1705092,275.95201938708544,-1.0940792774251775,1.0,0.1461788750786928,-1.275686537700059,-0.5824206130451972,0.1461788750786928,-1.4020931254252673,-0.02692174965177574,1.409692660080227,-1.4669140222942283
01/07/1980,278.25256,-24.41129,1.41440076560187,7.2442051,277.5119545383263,-1.18695055477827,1.0,0.1848692070888236,-1.2746196855880683,-0.5845490219963417,0.1848692070888236,-1.4019609397893813,-0.029298896060778956,1.414097274032015,-1.4396880176253055
01/08/1980,279.975,-24.40175,1.41831748142963,6.3196966,279.07830701082224,-1.2762751092365208,1.0,0.2237325386435483,-1.2720957826181234,-0.5859526850575789,0.2237325386435483,-1.4002036487840028,-0.031590682375772894,1.4179656226142867,-1.4123500095798633
01/09/1980,281.70379,-24.36949,1.42170036512524,5.3951671,280.6512739118329,-1.3619173749996016,1.0,0.26269989006886874,-1.2681073560940108,-0.5866211975161677,0.26269989006886874,-1.3968102575885184,-0.03379053492536366,1.4212987469025289,-1.384896557987817
01/10/1980,283.43846,-24.31422,1.42454886248763,4.4687446,282.23104806572906,-1.443723144776495,1.0,0.301701124229294,-1.2626485719577263,-0.5865445225954248,0.301701124229294,-1.3917714211600916,-0.0358915658003347,1.4240966459897308,-1.3573242974295954
01/11/1980,285.17858,-24.23567,1.42686132072904,3.5384955,283.81786896798576,-1.521543804303621,1.0,0.3406661020869488,-1.2557147729222617,-0.585713449176555,0.3406661020869488,-1.3850792025499614,-0.037887176525399247,1.4263582265502424,-1.3296290479211548
01/12/1980,286.92369,-24.13357,1.42863495096255,2.6024186,285.4119588428076,-1.5952107196139986,1.0,0.3795230385906184,-1.247303051414842,-0.5841191524183538,0.3795230385906184,-1.3767274237932523,-0.039770427031990685,1.4280812778849323,-1.3018069309189868
01/13/1980,288.67336,-24.00767,1.42986578795862,1.6584413,287.01357295254167,-1.6645599744440789,1.0,0.4181996227273413,-1.237411781209948,-0.5817536685299529,0.4181996227273413,-1.3667114250443142,-0.04153465755938096,1.4292624125037188,-1.2738534912551693
01/14/1980,290.42713,-23.85774,1.43054864848914,0.7044187,288.6229423641992,-1.72942563021009,1.0,0.4566215434210584,-1.2260410897916183,-0.5786099272570914,0.4566215434210584,-1.3550285108829874,-0.04317333056539735,1.4298970239922857,-1.2457646960500233
01/15/1980,292.18456,-23.68356,1.43067708981269,-0.261865,290.24031794402106,-1.7896342808112298,1.0,0.49471345327085725,-1.213192743401545,-0.5746815655870335,0.49471345327085725,-1.3416777707443877,-0.04467990552923634,1.429979245079035,-1.2175361668620883
01/16/1980,293.94521,-23.4849,1.43024336971482,-1.2426927,291.86595313796136,-1.8449825362730057,3.0,0.5323984653011675,-1.1988705911637816,-0.5699625219264595,0.5323984653011675,-1.3266603249686884,-0.04604728995433838,1.429501921545076,-1.1891634802254216
01/17/1980,295.7086,-23.26158,1.42923840866675,-2.2404114,293.5000561662515,-1.8952889868292089,2.0,0.5695969562678583,-1.1830805792007777,-0.5644484735886952,0.5695969562678583,-1.3099799095516824,-0.04726915262220266,1.428456529271592,-1.1606430020117542
01/18/1980,297.47429,-23.01341,1.42765175293271,-3.2574327,295.1428689091851,-1.9403452152613363,2.0,0.6062283499290535,-1.1658307901983456,-0.5581355426951756,0.6062283499290535,-1.2916423976823048,-0.04833872054206839,1.4268331702578954,-1.1319705106138997
01/19/1980,299.2418,-22.74022,1.42547153529192,-4.2962408,296.7945873566002,-1.979932003220382,2.0,0.6422092282141142,-1.1471321561003618,-0.5510210717973228,0.6422092282141142,-1.2716567621518253,-0.0492492070765741,1.4246205156215574,-1.1031425853641714
01/20/1980,301.01065,-22.44187,1.42268442873858,-5.3594085,298.45539285674926,-2.01383331692213,2.0,0.6774540288859597,-1.126998277582516,-0.543103953997246,0.6774540288859597,-1.250035041038661,-0.04999418663079008,1.4218057409781215,-1.074156061138686
01/21/1980,302.78034,-22.11822,1.41927558961746,-6.4496166,300.1254370571348,-2.041801532009512,2.0,0.7118747186549876,-1.1054461844135823,-0.534384054392834,0.7118747186549876,-1.2267928051904216,-0.05056676138420796,1.4183744928357607,-1.045008291189421
01/22/1980,304.55036,-21.76917,1.41522859050351,-7.5696687,301.8048401006555,-2.0635962958187317,2.0,0.7453807650486594,-1.0824962121177906,-0.5248632481177,0.7453807650486594,-1.2019494579722512,-0.0509605627347135,1.4143107807070951,-1.0156971786273263
01/23/1980,306.32018,-21.39463,1.41052534812491,-8.7224923,303.4936848050804,-2.0789510195930143,2.0,0.7778790800395,-1.0581727062901722,-0.5145448651015114,0.7778790800395,-1.1755286606020035,-0.05116896171566876,1.4095969264509054,-0.9862212780097247
01/24/1980,308.08923,-20.99455,1.40514605526112,-9.9111235,305.19198892164025,-2.0875950901777767,2.0,0.8092735442810994,-1.032504452002918,-0.503434527755842,0.8092735442810994,-1.1475590593350644,-0.05118566674974434,1.4042134681505054,-0.9565802795191704
01/25/1980,309.85692,-20.5689,1.39906912655743,-11.1386746,306.8997246719328,-2.08923576512234,2.0,0.8394655951051487,-1.0055249874158343,-0.49153986125574284,0.8394655951051487,-1.1180744579530162,-0.051004333090412246,1.3981391128540008,-0.9267746679801679
01/26/1980,311.6226,-20.1177,1.39227116735287,-12.4082871,308.61677197353646,-2.083574958481147,2.0,0.8683535331840302,-0.9772734292092075,-0.4788713704228002,0.8683535331840302,-1.0871149238874485,-0.05061903900828002,1.3913506805733777,-0.8968065392261737
01/27/1980,313.38556,-19.64102,1.3847269736462,-13.7230707,310.342914516959,-2.07030493533806,2.0,0.8958328463087932,-0.9477950432932212,-0.46544264837512606,0.8958328463087932,-1.0547273948318174,-0.05002425020865253,1.383823097774577,-0.8666796685697582
01/28/1980,315.14501,-19.13898,1.37640957147412,-15.0860274,312.07781790355824,-2.049098958143845,2.0,0.921796318391298,-0.917142135538008,-0.45127060514352263,0.921796318391298,-1.0209665869086035,-0.049214675270856045,1.3755294341392896,-0.8363998923678839
