Date,R.A._ICRF,DEC_ICRF,delta,deldot,Opposition,x_ICRF,y_ICRF,z_ICRF,x_Ecl,y_Ecl,z_Ecl,x_Pol,y_Pol
01/01/1980,83.09512,18.56955,0.00257371269456,0.0388995,1,0.00029330648049632113,0.002422024491533706,0.0008196131435311707,0.00029330648049632113,0.0025481874473868875,-0.00021144520712954387,0.0025650122725868665,1.45619669255601
01/02/1980,96.89437,19.13946,0.00259692450344,0.0412454,1,-0.0002945014079687219,0.0024356351594451466,0.0008514500380798318,-0.0002945014079687219,0.002573338976216394,-0.00018764943580276033,0.0025901360129942977,1.6847438865078221
01/03/1980,110.45809,18.70169,0.00262101617566,0.0418313,1,-0.0008677336922218476,0.0023260445746424102,0.0008404050625924507,-0.0008677336922218476,0.002468398135646911,-0.00015419039006781704,0.002616476851929347,1.9088399047511997
01/04/1980,123.62836,17.3389,0.00264478051332,0.0400213,1,-0.0013981319682158217,0.002102099682116853,0.0007882054868715251,-0.0013981319682158217,0.0022421689078230486,-0.00011300244192825838,0.002642365306265477,2.128361111782979
01/05/1980,136.31147,15.18401,0.00266669689436,0.0353835,1,-0.001860985251870604,0.001777683505633302,0.0006984608596826805,-0.001860985251870604,0.001908824514448622,-6.629624234718776e-05,0.0026658726778749043,2.3435050714148655
01/06/1980,148.49306,12.39366,0.00268507543275,0.0277727,1,-0.002235884994562922,0.0013705246389152162,0.0005762903649830355,-0.002235884994562922,0.0014866669171014117,-1.6427058231719533e-05,0.002685025182622214,2.554805755611659
01/07/1980,160.23101,9.12593,0.00269823429892,0.0173636,1,-0.002507070062025231,0.0009010682921642183,0.0004279532320492126,-0.002507070062025231,0.0009969440082383725,3.4215207185056096e-05,0.002698017355664264,2.7631111618835473
01/08/1980,171.63771,5.52749,0.00270468368465,0.0046425,1,-0.0026634854008157523,0.0003915182442634687,0.0002605241218430699,-0.0026634854008157523,0.0004628414956247156,8.328927650741265e-05,0.002703400956282803,2.969537903012922
01/09/1980,182.86182,1.73055,0.0027032969594,-0.0096265,3,-0.0026986941037001307,-0.00013490707149492166,8.163741431537705e-05,-0.0026986941037001307,-9.130134234680445e-05,0.00012856379833027666,0.002700238100697822,-3.107773877256762
01/10/1980,194.07409,-2.14271,0.00269345714656,-0.0244514,2,-0.0026107784405333748,-0.000654527237644017,-0.00010070466713786932,-0.0026107784405333748,-0.0006405750453977291,0.00016796114436069397,0.0026882151056677336,-2.900987800541029
