

*******************************************************************************
Ephemeris / WWW_USER Tue May 30 06:01:06 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1980-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_MARS                        {West-longitude positive}
Target radii    : 3396.19, 3396.19, 3376.2 km     {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Gregorian
EOP file        : eop.230528.p230821                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-28. PREDICTS-> 2023-AUG-20
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),             delta,     deldot,
*******************************************************************************
$$SOE
 1980-Jan-01 00:00, , ,   166.71340,    9.08589,  0.96677967657803,-14.5509746,
 1980-Jan-02 00:00, , ,   166.88206,    9.05021,  0.95840152790069,-14.4623394,
 1980-Jan-03 00:00, , ,   167.04146,    9.01853,  0.95007581663316,-14.3693383,
 1980-Jan-04 00:00, , ,   167.19139,    8.99091,  0.94180512172223,-14.2717687,
 1980-Jan-05 00:00, , ,   167.33169,    8.96744,  0.93359214370696,-14.1694137,
 1980-Jan-06 00:00, , ,   167.46215,    8.94819,  0.92543971015778,-14.0620516,
 1980-Jan-07 00:00, , ,   167.58259,    8.93323,  0.91735077674400,-13.9494614,
 1980-Jan-08 00:00, , ,   167.69282,    8.92262,  0.90932842558889,-13.8314264,
 1980-Jan-09 00:00, , ,   167.79263,    8.91645,  0.90137586263623,-13.7077344,
 1980-Jan-10 00:00, , ,   167.88185,    8.91477,  0.89349641544350,-13.5781760,
 1980-Jan-11 00:00, , ,   167.96028,    8.91764,  0.88569353229058,-13.4425420,
 1980-Jan-12 00:00, , ,   168.02773,    8.92514,  0.87797078284801,-13.3006209,
 1980-Jan-13 00:00, , ,   168.08401,    8.93730,  0.87033185990064,-13.1521981,
 1980-Jan-14 00:00, , ,   168.12896,    8.95418,  0.86278058073669,-12.9970578,
 1980-Jan-15 00:00, , ,   168.16239,    8.97583,  0.85532088580878,-12.8349910,
 1980-Jan-16 00:00, , ,   168.18415,    9.00229,  0.84795683138540,-12.6658085,
 1980-Jan-17 00:00, , ,   168.19408,    9.03357,  0.84069257270979,-12.4893601,
 1980-Jan-18 00:00, , ,   168.19205,    9.06972,  0.83353233549195,-12.3055552,
 1980-Jan-19 00:00, , ,   168.17794,    9.11074,  0.82648037687161,-12.1143771,
