

*******************************************************************************
Ephemeris / WWW_USER Tue May 30 06:43:26 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1980-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_MERCURY                     {West-longitude positive}
Target radii    : 2439.7, 2439.7, 2439.7 km       {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Gregorian
EOP file        : eop.230528.p230821                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-28. PREDICTS-> 2023-AUG-20
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),             delta,     deldot,
*******************************************************************************
$$SOE
 1980-Jan-01 00:00, , ,   268.07718,  -24.00919,  1.37959024451239, 12.8896185,
 1980-Jan-02 00:00, , ,   269.75171,  -24.12915,  1.38675610346684, 11.9285111,
 1980-Jan-03 00:00, , ,   271.43544,  -24.22842,  1.39336998843369, 10.9776982,
 1980-Jan-04 00:00, , ,   273.12789,  -24.30663,  1.39943736879098, 10.0355428,
 1980-Jan-05 00:00, , ,   274.82854,  -24.36340,  1.40496276008452,  9.1003785,
 1980-Jan-06 00:00, , ,   276.53692,  -24.39840,  1.40994970707766,  8.1705092,
 1980-Jan-07 00:00, , ,   278.25256,  -24.41129,  1.41440076560187,  7.2442051,
 1980-Jan-08 00:00, , ,   279.97500,  -24.40175,  1.41831748142963,  6.3196966,
 1980-Jan-09 00:00, , ,   281.70379,  -24.36949,  1.42170036512524,  5.3951671,
 1980-Jan-10 00:00, , ,   283.43846,  -24.31422,  1.42454886248763,  4.4687446,
 1980-Jan-11 00:00, , ,   285.17858,  -24.23567,  1.42686132072904,  3.5384955,
 1980-Jan-12 00:00, , ,   286.92369,  -24.13357,  1.42863495096255,  2.6024186,
 1980-Jan-13 00:00, , ,   288.67336,  -24.00767,  1.42986578795862,  1.6584413,
 1980-Jan-14 00:00, , ,   290.42713,  -23.85774,  1.43054864848914,  0.7044187,
 1980-Jan-15 00:00, , ,   292.18456,  -23.68356,  1.43067708981269, -0.2618650,
 1980-Jan-16 00:00, , ,   293.94521,  -23.48490,  1.43024336971482, -1.2426927,
 1980-Jan-17 00:00, , ,   295.70860,  -23.26158,  1.42923840866675, -2.2404114,
 1980-Jan-18 00:00, , ,   297.47429,  -23.01341,  1.42765175293271, -3.2574327,
 1980-Jan-19 00:00, , ,   299.24180,  -22.74022,  1.42547153529192, -4.2962408,
