

*******************************************************************************
Ephemeris / WWW_USER Tue May 30 06:44:59 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Venus (299)                     {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1980-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_VENUS                       {East-longitude positive}
Target radii    : 6051.8, 6051.8, 6051.8 km       {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Gregorian
EOP file        : eop.230528.p230821                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-28. PREDICTS-> 2023-AUG-20
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),             delta,     deldot,
*******************************************************************************
$$SOE
 1980-Jan-01 00:00, , ,   314.67222,  -19.01361,  1.34697288839701, -9.0454213,
 1980-Jan-02 00:00, , ,   315.91973,  -18.66226,  1.34173330382309, -9.0972485,
 1980-Jan-03 00:00, , ,   317.16126,  -18.30236,  1.33646385244182, -9.1488453,
 1980-Jan-04 00:00, , ,   318.39679,  -17.93412,  1.33116463973677, -9.2003067,
 1980-Jan-05 00:00, , ,   319.62634,  -17.55775,  1.32583571775149, -9.2517218,
 1980-Jan-06 00:00, , ,   320.84993,  -17.17347,  1.32047708972505, -9.3031701,
 1980-Jan-07 00:00, , ,   322.06758,  -16.78148,  1.31508871626491, -9.3547198,
 1980-Jan-08 00:00, , ,   323.27934,  -16.38201,  1.30967052154083, -9.4064291,
 1980-Jan-09 00:00, , ,   324.48524,  -15.97527,  1.30422239830713, -9.4583491,
 1980-Jan-10 00:00, , ,   325.68535,  -15.56148,  1.29874421104136, -9.5105273,
 1980-Jan-11 00:00, , ,   326.87972,  -15.14086,  1.29323579699766, -9.5630111,
 1980-Jan-12 00:00, , ,   328.06842,  -14.71363,  1.28769696547063, -9.6158501,
 1980-Jan-13 00:00, , ,   329.25151,  -14.28000,  1.28212749608219, -9.6690973,
 1980-Jan-14 00:00, , ,   330.42909,  -13.84019,  1.27652713748769, -9.7228063,
 1980-Jan-15 00:00, , ,   331.60122,  -13.39443,  1.27089560851814, -9.7770253,
 1980-Jan-16 00:00, , ,   332.76800,  -12.94293,  1.26523260422386, -9.8317864,
 1980-Jan-17 00:00, , ,   333.92952,  -12.48592,  1.25953780909768, -9.8870916,
 1980-Jan-18 00:00, , ,   335.08587,  -12.02361,  1.25381091836760, -9.9428998,
 1980-Jan-19 00:00, , ,   336.23714,  -11.55623,  1.24805166547586, -9.9991195,
