

*******************************************************************************
Ephemeris / WWW_USER Tue May 30 06:02:18 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 1980-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : MOON_ME                         {East-longitude positive}
Target radii    : 1737.4, 1737.4, 1737.4 km       {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6.96E5               {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}       
Target primary  : Earth
Vis. interferer : None
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Gregorian
EOP file        : eop.230528.p230821                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-28. PREDICTS-> 2023-AUG-20
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),             delta,     deldot,
*******************************************************************************
$$SOE
 1980-Jan-01 00:00, , ,   100.82800,   23.05630,  0.98573500769449,  0.2807143,
 1980-Jan-02 00:00, , ,   101.96493,   22.97515,  0.98584539320939,  0.1009600,
 1980-Jan-03 00:00, , ,   103.10102,   22.88641,  0.98585177955035, -0.0780326,
 1980-Jan-04 00:00, , ,   104.23469,   22.79013,  0.98575690901303, -0.2484946,
 1980-Jan-05 00:00, , ,   105.36451,   22.68638,  0.98556763401283, -0.4039924,
 1980-Jan-06 00:00, , ,   106.48921,   22.57525,  0.98529411695530, -0.5394878,
 1980-Jan-07 00:00, , ,   107.60771,   22.45684,  0.98494906025598, -0.6511837,
 1980-Jan-08 00:00, , ,   108.71908,   22.33126,  0.98454706883104, -0.7362343,
 1980-Jan-09 00:00, , ,   109.82261,   22.19864,  0.98410419711861, -0.7924110,
 1980-Jan-10 00:00, , ,   110.91774,   22.05909,  0.98363768179507, -0.8178063,
 1980-Jan-11 00:00, , ,   112.00408,   21.91274,  0.98316581771946, -0.8106438,
 1980-Jan-12 00:00, , ,   113.08146,   21.75971,  0.98270789837755, -0.7692542,
 1980-Jan-13 00:00, , ,   114.14989,   21.60011,  0.98228410999559, -0.6922684,
 1980-Jan-14 00:00, , ,   115.20964,   21.43403,  0.98191524045804, -0.5790700,
 1980-Jan-15 00:00, , ,   116.26126,   21.26153,  0.98162204990744, -0.4305089,
 1980-Jan-16 00:00, , ,   117.30564,   21.08263,  0.98142417325184, -0.2497826,
 1980-Jan-17 00:00, , ,   118.34400,   20.89733,  0.98133851869589, -0.0432461,
 1980-Jan-18 00:00, , ,   119.37787,   20.70556,  0.98137730866580,  0.1792299,
 1980-Jan-19 00:00, , ,   120.40902,   20.50724,  0.98154614094500,  0.4047384,
