

*******************************************************************************
Ephemeris / WWW_USER Tue May 30 06:02:44 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 1980-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_MARS                        {West-longitude positive}
Target radii    : 3396.19, 3396.19, 3376.2 km     {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6.96E5               {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Gregorian
EOP file        : eop.230528.p230821                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-28. PREDICTS-> 2023-AUG-20
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),             delta,     deldot,
*******************************************************************************
$$SOE
 1980-Jan-01 00:00, , ,   134.79244,   19.01256,  1.65114946221094,  0.9257805,
 1980-Jan-02 00:00, , ,   135.24363,   18.88935,  1.65167951898827,  0.9097585,
 1980-Jan-03 00:00, , ,   135.69387,   18.76513,  1.65220030958955,  0.8936925,
 1980-Jan-04 00:00, , ,   136.14316,   18.63991,  1.65271180878242,  0.8775832,
 1980-Jan-05 00:00, , ,   136.59151,   18.51370,  1.65321399183637,  0.8614315,
 1980-Jan-06 00:00, , ,   137.03894,   18.38652,  1.65370683452020,  0.8452383,
 1980-Jan-07 00:00, , ,   137.48543,   18.25837,  1.65419031310092,  0.8290044,
 1980-Jan-08 00:00, , ,   137.93101,   18.12926,  1.65466440434334,  0.8127307,
 1980-Jan-09 00:00, , ,   138.37567,   17.99920,  1.65512908550870,  0.7964180,
 1980-Jan-10 00:00, , ,   138.81944,   17.86820,  1.65558433435215,  0.7800673,
 1980-Jan-11 00:00, , ,   139.26230,   17.73627,  1.65603012912049,  0.7636793,
 1980-Jan-12 00:00, , ,   139.70428,   17.60342,  1.65646644855076,  0.7472550,
 1980-Jan-13 00:00, , ,   140.14537,   17.46966,  1.65689327186929,  0.7307951,
 1980-Jan-14 00:00, , ,   140.58559,   17.33499,  1.65731057879005,  0.7143005,
 1980-Jan-15 00:00, , ,   141.02494,   17.19944,  1.65771834951269,  0.6977721,
 1980-Jan-16 00:00, , ,   141.46344,   17.06300,  1.65811656472102,  0.6812106,
 1980-Jan-17 00:00, , ,   141.90108,   16.92568,  1.65850520558259,  0.6646169,
 1980-Jan-18 00:00, , ,   142.33788,   16.78750,  1.65888425374775,  0.6479919,
 1980-Jan-19 00:00, , ,   142.77385,   16.64846,  1.65925369134761,  0.6313364,
