

*******************************************************************************
Ephemeris / WWW_USER Tue May 30 06:44:01 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 1980-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_MERCURY                     {West-longitude positive}
Target radii    : 2439.7, 2439.7, 2439.7 km       {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6.96E5               {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Gregorian
EOP file        : eop.230528.p230821                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-28. PREDICTS-> 2023-AUG-20
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),             delta,     deldot,
*******************************************************************************
$$SOE
 1980-Jan-01 00:00, , ,   240.15346,  -22.37387,  0.46275519306268,  2.5588258,
 1980-Jan-02 00:00, , ,   243.04152,  -23.22139,  0.46409534734647,  2.0815888,
 1980-Jan-03 00:00, , ,   245.95010,  -24.01154,  0.46515914160228,  1.6019049,
 1980-Jan-04 00:00, , ,   248.88160,  -24.74336,  0.46594533728103,  1.1203764,
 1980-Jan-05 00:00, , ,   251.83816,  -25.41572,  0.46645303511832,  0.6375775,
 1980-Jan-06 00:00, , ,   254.82166,  -26.02739,  0.46668166127882,  0.1540625,
 1980-Jan-07 00:00, , ,   257.83367,  -26.57700,  0.46663095851673, -0.3296253,
 1980-Jan-08 00:00, , ,   260.87551,  -27.06304,  0.46630098222538, -0.8129452,
 1980-Jan-09 00:00, , ,   263.94824,  -27.48390,  0.46569210131935, -1.2953507,
 1980-Jan-10 00:00, , ,   267.05261,  -27.83784,  0.46480500396200, -1.7762813,
 1980-Jan-11 00:00, , ,   270.18914,  -28.12301,  0.46364070822067, -2.2551537,
 1980-Jan-12 00:00, , ,   273.35808,  -28.33746,  0.46220057780248, -2.7313529,
 1980-Jan-13 00:00, , ,   276.55945,  -28.47914,  0.46048634309476, -3.2042226,
 1980-Jan-14 00:00, , ,   279.79304,  -28.54593,  0.45850012780743, -3.6730553,
 1980-Jan-15 00:00, , ,   283.05846,  -28.53561,  0.45624448158912, -4.1370818,
 1980-Jan-16 00:00, , ,   286.35515,  -28.44591,  0.45372241906529, -4.5954593,
 1980-Jan-17 00:00, , ,   289.68243,  -28.27449,  0.45093746582375, -5.0472591,
 1980-Jan-18 00:00, , ,   293.03957,  -28.01897,  0.44789371195009, -5.4914529,
