

*******************************************************************************
Ephemeris / WWW_USER Tue May 30 06:46:32 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Uranus (799)                    {source: ura116}
Center body name: Sun (10)                        {source: ura116}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 1980-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_URANUS                      {East-longitude positive}
Target radii    : 25559.0, 25559.0, 24973.0 km    {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6.96E5               {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: ura116}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Gregorian
EOP file        : eop.230528.p230821                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-28. PREDICTS-> 2023-AUG-20
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),             delta,     deldot,
*******************************************************************************
$$SOE
 1980-Jan-01 00:00, , ,   229.84551,  -18.03547,  18.7258087541338,  0.2941595,
 1980-Jan-02 00:00, , ,   229.85798,  -18.03878,  18.7259786719910,  0.2942338,
 1980-Jan-03 00:00, , ,   229.87046,  -18.04209,  18.7261485964180,  0.2942068,
 1980-Jan-04 00:00, , ,   229.88294,  -18.04539,  18.7263185374332,  0.2942872,
 1980-Jan-05 00:00, , ,   229.89541,  -18.04870,  18.7264885073353,  0.2942949,
 1980-Jan-06 00:00, , ,   229.90789,  -18.05200,  18.7266584933974,  0.2943864,
 1980-Jan-07 00:00, , ,   229.92037,  -18.05530,  18.7268285511133,  0.2944648,
 1980-Jan-08 00:00, , ,   229.93284,  -18.05861,  18.7269985927382,  0.2943798,
 1980-Jan-09 00:00, , ,   229.94532,  -18.06191,  18.7271686195439,  0.2944332,
 1980-Jan-10 00:00, , ,   229.95780,  -18.06521,  18.7273386795620,  0.2944524,
 1980-Jan-11 00:00, , ,   229.97028,  -18.06851,  18.7275087550992,  0.2945285,
 1980-Jan-12 00:00, , ,   229.98276,  -18.07180,  18.7276788907651,  0.2946129,
 1980-Jan-13 00:00, , ,   229.99523,  -18.07510,  18.7278490350628,  0.2945988,
 1980-Jan-14 00:00, , ,   230.00771,  -18.07840,  18.7280192221910,  0.2947554,
 1980-Jan-15 00:00, , ,   230.02019,  -18.08170,  18.7281894773687,  0.2947849,
 1980-Jan-16 00:00, , ,   230.03267,  -18.08499,  18.7283597108782,  0.2947407,
 1980-Jan-17 00:00, , ,   230.04515,  -18.08828,  18.7285299383169,  0.2947216,
 1980-Jan-18 00:00, , ,   230.05763,  -18.09158,  18.7287001308105,  0.2946553,
