

*******************************************************************************
Ephemeris / WWW_USER Tue May 30 06:44:32 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Venus (299)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 1980-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_VENUS                       {East-longitude positive}
Target radii    : 6051.8, 6051.8, 6051.8 km       {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6.96E5               {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Gregorian
EOP file        : eop.230528.p230821                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-28. PREDICTS-> 2023-AUG-20
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),             delta,     deldot,
*******************************************************************************
$$SOE
 1980-Jan-01 00:00, , ,   358.64398,   -4.22831,  0.72672340115506, -0.1687827,
 1980-Jan-02 00:00, , ,     0.09599,   -3.57927,  0.72662461264095, -0.1732916,
 1980-Jan-03 00:00, , ,     1.54634,   -2.92775,  0.72652325785718, -0.1776689,
 1980-Jan-04 00:00, , ,     2.99541,   -2.27418,  0.72641941375814, -0.1819113,
 1980-Jan-05 00:00, , ,     4.44359,   -1.61897,  0.72631315925415, -0.1860154,
 1980-Jan-06 00:00, , ,     5.89126,   -0.96254,  0.72620457515650, -0.1899779,
 1980-Jan-07 00:00, , ,     7.33880,   -0.30529,  0.72609374412101, -0.1937958,
 1980-Jan-08 00:00, , ,     8.78662,    0.35236,  0.72598075059009, -0.1974659,
 1980-Jan-09 00:00, , ,    10.23510,    1.00999,  0.72586568073325, -0.2009854,
 1980-Jan-10 00:00, , ,    11.68462,    1.66718,  0.72574862238625, -0.2043514,
 1980-Jan-11 00:00, , ,    13.13559,    2.32352,  0.72562966498879, -0.2075612,
 1980-Jan-12 00:00, , ,    14.58838,    2.97859,  0.72550889952079, -0.2106122,
 1980-Jan-13 00:00, , ,    16.04339,    3.63196,  0.72538641843731, -0.2135018,
 1980-Jan-14 00:00, , ,    17.50100,    4.28321,  0.72526231560217, -0.2162278,
 1980-Jan-15 00:00, , ,    18.96158,    4.93192,  0.72513668622028, -0.2187878,
 1980-Jan-16 00:00, , ,    20.42553,    5.57766,  0.72500962676863, -0.2211796,
 1980-Jan-17 00:00, , ,    21.89322,    6.21999,  0.72488123492612, -0.2234014,
 1980-Jan-18 00:00, , ,    23.36500,    6.85850,  0.72475160950225, -0.2254511,
 1980-Jan-19 00:00, , ,    24.84126,    7.49273,  0.72462085036452, -0.2273271,
